Type,Date / Time,Home Team,Home Team.1,Unnamed: 4,Away Team,Away Team.1,Venue,Competition,Status / Notes
L,02/12/23 11:30,Down Grange U12 Pumas,,VS,,Curley Park Rangers U12 Mambas,DOWN GRANGE SPORTS COMPLEX #2,U12 Division 8 - No Heading Trial,Postponed
L,09/12/23 10:30,Petersfield Town U12 Revolution,,VS,,Down Grange U12 Pumas,TARO LEISURE CENTRE 1,U12 Division 8 - No Heading Trial,Postponed
L,06/01/24 08:00,Down Grange U12 Pumas,,VS,,Tongham U12,DOWN GRANGE SPORTS COMPLEX #2,U12 Division 8 - No Heading Trial,Postponed
L,13/01/24 08:00,Farnham Town U12 Panthers,,VS,,Down Grange U12 Pumas,MONKTON LANE 5v5 1,U12 Division 8 - No Heading Trial,
Cup,20/01/24 08:00,Beacon Hill U12 Rockets,,VS,,Down Grange U12 Pumas,HINDHEAD PLAYING FIELDS (HINDHEAD CC) 1,U12 League Vase(No Deliberate Heading)_2023 - 2024,
L,27/01/24 08:00,Down Grange U12 Pumas,,VS,,Mytchett Athletic U12 Hawks,DOWN GRANGE SPORTS COMPLEX #2,U12 Division 8 - No Heading Trial,
L,03/02/24 08:00,Fernhurst Sports U12 Terriers,,VS,,Down Grange U12 Pumas,FERNHURST RECREATION GROUND,U12 Division 8 - No Heading Trial,
L,10/02/24 08:00,Down Grange U12 Pumas,,VS,,Aldershot B&G U12 Lions,DOWN GRANGE SPORTS COMPLEX #2,U12 Division 8 - No Heading Trial,
L,17/02/24 08:00,Down Grange U12 Pumas,,VS,,Petersfield Town U12 Revolution,DOWN GRANGE SPORTS COMPLEX #2,U12 Division 8 - No Heading Trial,
L,24/02/24 08:00,Curley Park Rangers U12 Mambas,,VS,,Down Grange U12 Pumas,LIGHTWATER RECREATION GROUND,U12 Division 8 - No Heading Trial,
L,02/03/24 08:00,Tongham U12,,VS,,Down Grange U12 Pumas,POYLE ROAD RECREATION GROUND #2,U12 Division 8 - No Heading Trial,
L,09/03/24 08:00,Down Grange U12 Pumas,,VS,,Farnham Town U12 Panthers,DOWN GRANGE SPORTS COMPLEX #2,U12 Division 8 - No Heading Trial,
L,16/03/24 08:00,Down Grange U12 Pumas,,VS,,Fernhurst Sports U12 Terriers,DOWN GRANGE SPORTS COMPLEX #2,U12 Division 8 - No Heading Trial,
